Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
S7913,PRJNA609577,S7913,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省,Hebei
Ay420,PRJNA609577,Ay420,-,5.6,,68.0,180.0,85.7,47.6,8.4,70.1,32.2,7.7,167.3,12.6,,,,,68.5,0.5,,,2017,HeBei Province,河北省,Hebei
WIL_27,PRJNA609577,WIL_27,-,6.4,,64.0,202.0,60.1,29.8,7.7,79.0,30.4,7.3,157.6,27.8,,,,,69.0,5.0,,,2017,HeBei Province,河北省,Hebei
WIL_26,PRJNA609577,WIL_26,-,4.8,,61.5,192.9,77.1,39.9,9.0,74.9,36.5,9.9,156.1,24.2,,,,,62.5,1.0,,,2017,HeBei Province,河北省,Hebei
WIL_13,PRJNA609577,WIL_13,-,5.8,,55.0,211.7,72.7,34.3,8.5,74.6,33.3,8.3,152.8,29.8,,,,,55.0,0.0,,,2017,HeBei Province,河北省,Hebei
WIL_9,PRJNA609577,WIL_9,-,5.6,,53.0,197.7,68.0,34.4,8.0,63.7,30.1,5.1,141.7,41.4,,,,,53.0,0.0,,,2017,HeBei Province,河北省,Hebei
WIL_10,PRJNA609577,WIL_10,-,5.2,,49.0,155.7,41.8,26.9,7.1,65.6,25.2,5.8,146.3,30.7,,,,,49.5,0.5,,,2017,HeBei Province,河北省,Hebei
B37,PRJNA609577,B37,-,5.7,,67.0,241.1,105.9,43.9,9.3,69.6,30.8,9.5,161.9,27.6,,,,,71.5,4.5,,,2017,HeBei Province,河北省,Hebei
Ye502,PRJNA609577,Ye502,-,5.5,,64.0,207.1,92.3,44.5,7.8,67.6,28.5,9.0,166.5,16.9,,,,,63.0,-1.0,,,2017,HeBei Province,河北省,Hebei
WIL_2,PRJNA609577,WIL_2,-,6.2,,67.5,235.1,86.3,36.7,9.5,81.4,34.3,4.2,167.0,16.5,,,,,66.5,-1.0,,,2017,HeBei Province,河北省,Hebei
Shuang741,PRJNA609577,Shuang741,-,4.8,,,,,,8.4,57.5,,,162.4,19.5,,,,,,,,,2017,HeBei Province,河北省,Hebei
B98,PRJNA609577,B98,-,7.5,,67.5,243.9,97.5,39.9,8.6,70.3,32.7,9.5,128.4,51.8,,,,,69.5,2.0,,,2017,HeBei Province,河北省,Hebei
M9,PRJNA609577,M9,-,6.6,,64.5,227.4,118.6,52.1,10.1,71.6,30.7,10.3,130.0,53.8,,,,,64.5,0.0,,,2017,HeBei Province,河北省,Hebei
PHG39,PRJNA609577,PHG39,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省,Hebei
PHT73,PRJNA609577,PHT73,-,5.1,,49.5,187.7,47.5,25.3,8.8,56.7,24.8,6.6,133.2,46.0,,,,,50.5,1.0,,,2017,HeBei Province,河北省,Hebei
6M502A,PRJNA609577,6M502A,-,4.5,,63.5,215.4,93.8,43.5,10.3,75.6,40.7,14.0,147.7,31.3,,,,,65.0,1.5,,,2017,HeBei Province,河北省,Hebei
PHVA9,PRJNA609577,PHVA9,-,6.2,,56.0,232.5,76.6,32.9,9.1,77.0,35.7,2.8,151.1,31.9,,,,,58.0,2.0,,,2017,HeBei Province,河北省,Hebei
PHT55,PRJNA609577,PHT55,-,5.0,,67.5,254.4,120.6,47.4,8.5,76.8,35.5,6.9,170.2,13.3,,,,,69.5,2.0,,,2017,HeBei Province,河北省,Hebei
PHV53,PRJNA609577,PHV53,-,5.5,,68.5,284.6,113.2,39.8,9.1,86.2,,5.9,148.7,37.3,,,,,70.0,1.5,,,2017,HeBei Province,河北省,Hebei
PHPR5,PRJNA609577,PHPR5,-,6.5,,59.0,228.7,88.1,38.5,9.0,83.8,37.4,9.5,161.6,19.6,,,,,59.0,0.0,,,2017,HeBei Province,河北省,Hebei
PHP85,PRJNA609577,PHP85,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省,Hebei
OS602,PRJNA609577,OS602,-,5.4,,56.5,206.6,81.9,39.6,7.6,81.9,31.5,6.8,140.6,41.0,,,,,58.0,1.5,,,2017,HeBei Province,河北省,Hebei
OQ403,PRJNA609577,OQ403,-,5.1,,53.0,211.8,73.5,34.7,6.6,65.9,32.6,7.2,141.0,40.3,,,,,54.0,1.0,,,2017,HeBei Province,河北省,Hebei
Tian4,PRJNA609577,Tian4,-,5.0,,63.0,218.4,117.6,53.8,8.7,59.7,30.6,15.8,156.0,27.6,,,,,63.0,0.0,,,2017,HeBei Province,河北省,Hebei
LH190,PRJNA609577,LH190,-,5.8,,69.0,232.0,100.9,43.5,7.4,72.9,30.0,8.9,150.3,29.4,,,,,69.0,0.0,,,2017,HeBei Province,河北省,Hebei
27_263,PRJNA609577,27_263,-,5.1,,64.0,232.3,120.2,51.7,10.5,73.1,36.4,9.5,163.3,16.4,,,,,67.5,3.5,,,2017,HeBei Province,河北省,Hebei
LH160,PRJNA609577,LH160,-,4.9,,52.5,209.4,71.8,34.3,7.5,63.2,39.2,7.9,148.6,33.2,,,,,55.5,3.0,,,2017,HeBei Province,河北省,Hebei
PHN82,PRJNA609577,PHN82,-,4.2,,62.5,175.8,74.8,42.6,8.3,71.3,21.2,7.7,153.4,33.8,,,,,64.5,2.0,,,2017,HeBei Province,河北省,Hebei
E8501,PRJNA609577,E8501,-,5.8,,65.0,247.2,101.0,40.9,9.7,72.5,42.2,8.8,156.8,27.0,,,,,73.5,8.5,,,2017,HeBei Province,河北省,Hebei
